sequence_id,predicted_cluster,known_subfamily
family308_seq089,0,LTR13A
family308_seq090,0,LTR13A
family308_seq091,0,LTR13A
family308_seq092,0,LTR13A
family308_seq093,0,LTR13A
family308_seq094,1-1,LTR13A
family308_seq095,0,LTR13A
family308_seq096,0,LTR13A
family308_seq097,0,LTR13A
family308_seq098,1-1,LTR13A
family308_seq099,0,LTR13A
family308_seq100,0,LTR13A
family308_seq101,0,LTR13A
family308_seq102,0,LTR13A
family308_seq103,0,LTR13A
family308_seq104,0,LTR13A
family308_seq105,0,LTR13A
family308_seq106,0,LTR13A
family308_seq107,0,LTR13A
family308_seq108,0,LTR13A
family308_seq109,0,LTR13A
family308_seq110,0,LTR13A
family308_seq111,0,LTR13A
family308_seq112,0,LTR13A
family308_seq113,0,LTR13A
family308_seq114,0,LTR13A
family308_seq115,0,LTR13A
family308_seq116,0,LTR13A
family308_seq117,0,LTR13A
family308_seq118,0,LTR13A
family308_seq119,0,LTR13A
family308_seq120,0,LTR13A
family308_seq121,0,LTR13A
family308_seq122,0,LTR13A
family308_seq123,0,LTR13A
family308_seq124,0,LTR13A
family308_seq125,0,LTR13A
family308_seq126,0,LTR13A
family308_seq127,0,LTR13A
family308_seq128,0,LTR13A
family308_seq129,0,LTR13A
family308_seq130,0,LTR13A
family308_seq131,0,LTR13A
family308_seq132,0,LTR13A
family308_seq133,0,LTR13A
family308_seq134,0,LTR13A
family308_seq135,0,LTR13A
family308_seq136,0,LTR13A
family308_seq137,0,LTR13A
family308_seq138,0,LTR13A
family308_seq139,0,LTR13A
family308_seq140,0,LTR13A
family308_seq141,0,LTR13A
family308_seq142,0,LTR13A
family308_seq143,0,LTR13A
family308_seq144,0,LTR13A
family308_seq145,0,LTR13A
family308_seq146,0,LTR13A
family308_seq147,0,LTR13A
family308_seq148,0,LTR13A
family308_seq149,0,LTR13A
family308_seq150,1-1,LTR13A
family308_seq151,0,LTR13A
family308_seq152,1-0,LTR13A
family308_seq153,0,LTR13A
family308_seq154,0,LTR13A
family308_seq155,0,LTR13A
family308_seq156,0,LTR13A
family308_seq157,0,LTR13A
family308_seq158,0,LTR13A
family308_seq159,0,LTR13A
family308_seq160,0,LTR13A
family308_seq161,0,LTR13A
family308_seq162,0,LTR13A
family308_seq163,0,LTR13A
family308_seq164,0,LTR13A
family308_seq165,0,LTR13A
family308_seq166,0,LTR13A
family308_seq167,0,LTR13A
family308_seq168,0,LTR13A
family308_seq169,0,LTR13A
family308_seq170,0,LTR13A
family308_seq171,0,LTR13A
family308_seq172,0,LTR13A
family308_seq173,0,LTR13A
family308_seq174,0,LTR13A
family308_seq175,0,LTR13A
family308_seq176,0,LTR13A
family308_seq177,0,LTR13A
family308_seq178,0,LTR13A
family308_seq179,0,LTR13A
family308_seq180,0,LTR13A
family308_seq181,0,LTR13A
family308_seq182,0,LTR13A
family308_seq183,0,LTR13A
family308_seq184,1-1,LTR13A
family308_seq185,0,LTR13A
family308_seq186,0,LTR13A
family308_seq187,0,LTR13A
family308_seq188,0,LTR13A
family308_seq189,0,LTR13A
family308_seq190,0,LTR13A
family308_seq191,0,LTR13A
family308_seq192,0,LTR13A
family308_seq193,0,LTR13A
family308_seq194,0,LTR13A
family308_seq195,0,LTR13A
family308_seq196,0,LTR13A
family308_seq197,0,LTR13A
family308_seq198,0,LTR13A
family308_seq199,0,LTR13A
family308_seq200,0,LTR13A
family308_seq201,0,LTR13A
family308_seq202,0,LTR13A
family308_seq203,0,LTR13A
family308_seq204,0,LTR13A
family308_seq205,0,LTR13A
family308_seq206,0,LTR13A
family308_seq207,0,LTR13A
family308_seq208,0,LTR13A
family308_seq209,0,LTR13A
family308_seq210,0,LTR13A
family308_seq211,0,LTR13A
family308_seq212,0,LTR13A
family308_seq213,0,LTR13A
family308_seq214,0,LTR13A
family308_seq215,0,LTR13A
family308_seq216,0,LTR13A
family308_seq217,0,LTR13A
family308_seq218,0,LTR13A
family308_seq219,0,LTR13A
family308_seq220,0,LTR13A
family308_seq221,0,LTR13A
family308_seq222,0,LTR13A
family308_seq223,0,LTR13A
family308_seq224,0,LTR13A
family308_seq225,1-1,LTR13A
family308_seq226,0,LTR13A
family308_seq227,0,LTR13A
family308_seq228,0,LTR13A
family308_seq229,0,LTR13A
family308_seq230,0,LTR13A
family308_seq231,0,LTR13A
family308_seq232,0,LTR13A
family308_seq233,1-1,LTR13A
